eventID,volume,energy_MeV,x_mm,y_mm,z_mm
27,Phantom,564.065,1.54191,2.49314,-365
27,Scint1,564.065,2.18463,3.55712,-202.5
27,DWC1,564.065,2.78779,4.55562,-50
27,DWC2,564.065,3.77659,6.19251,200
27,Scint2,564.065,5.34878,8.79515,597.5
27,Phantom,4.63195,-1.94046,0.669998,-365
27,Phantom,42.6244,-1.55301,0.124713,-365
27,Scint1,42.6244,-2.21098,0.193231,-202.5
27,DWC1,42.6244,-2.82847,0.257533,-50
27,DWC2,42.6244,-3.84074,0.362945,200
27,Scint2,42.6244,-5.45024,0.530551,597.5
27,Phantom,9.62494,-2.59354,-0.394493,-365
27,Scint1,9.62494,-3.6885,-0.544012,-202.5
27,DWC1,9.62494,-4.71607,-0.68433,-50
27,DWC2,9.62494,-6.40063,-0.914359,200
27,Scint2,9.62494,-9.07907,-1.2801,597.5
27,Collimator,0.996931,9.91217,-1.32248,-545.268
27,Collimator,23.7206,-6.64241,20.558,-575
27,Phantom,23.7206,-14.7209,45.5867,-365
27,DWC1,23.7206,-26.8387,83.1298,-50
27,Collimator,1.23776,-4.5808,17.6663,-575
27,Collimator,2.14084,-4.27484,11.715,-575
27,Collimator,0.757236,-5.55187,13.1484,-575
27,Collimator,3.74791,-7.07083,11.5773,-575
27,Collimator,1.34276,-6.28799,9.78806,-575
27,Phantom,25.0571,4.47655,16.3857,-365
27,Scint1,25.0571,6.39459,23.3151,-202.5
27,DWC1,25.0571,8.1946,29.818,-50
27,DWC2,25.0571,11.1454,40.4786,200
27,Collimator,0.775643,-9.73877,-2.27076,-536.875
27,Collimator,0.883893,-9.34446,3.56105,-526.652
27,Collimator,9.23411,3.39736,9.99159,-575
27,Phantom,0.616428,-8.75242,13.2147,-365
27,Scint1,0.616428,-12.4491,18.8043,-202.5
27,DWC1,0.616428,-15.9184,24.0498,-50
27,DWC2,0.616428,-21.6056,32.6492,200
27,Scint2,0.616428,-30.6484,46.3221,597.5
27,Phantom,4.46598,-6.62481,13.8164,-365
27,Scint1,4.46598,-9.42054,19.6624,-202.5
27,DWC1,4.46598,-12.0442,25.1486,-50
27,DWC2,4.46598,-16.3453,34.1423,200
27,Scint2,4.46598,-23.1841,48.4424,597.5
27,Collimator,1.65043,-45.0442,6.20792,-575
27,Collimator,13.2988,52.5957,-10.9561,-575
27,Collimator,0.892677,50.0016,-3.47734,-575
27,Collimator,14.1193,8.66655,10.3007,-575
27,Collimator,5.56558,9.74146,33.1301,-575
27,Collimator,33.7994,-24.8221,19.7154,-575
27,Collimator,0.820661,-16.5379,17.5298,-575
27,Collimator,0.49526,-14.9072,20.8608,-575
27,Collimator,3.33467,-9.40247,24.3627,-575
27,Collimator,10.5872,-10.5256,14.6401,-575
27,Phantom,12.9061,5.18743,13.3937,-365
27,Scint1,12.9061,7.40523,19.0875,-202.5
27,DWC1,12.9061,9.48655,24.4309,-50
27,DWC2,12.9061,12.8986,33.1906,200
27,Scint2,12.9061,18.3236,47.1186,597.5
27,Collimator,11.6837,32.6353,16.8816,-575
27,Collimator,13.376,16.6264,14.5496,-575
27,Collimator,2.10532,11.0973,1.65181,-575
27,Collimator,0.3188,-3.6935,9.2929,-559.984
27,Collimator,2.80367,-0.332527,-9.99447,-573.039
27,Collimator,0.479832,10.3595,-17.0868,-575
27,Collimator,15.5892,6.4675,-38.5614,-575
27,Collimator,1.79643,-9.37805,-5.86241,-575
27,Collimator,0.347918,-9.45856,3.24588,-532.458
27,Phantom,4.49508,-10.9326,-6.25904,-365
27,Scint1,4.49508,-15.5468,-8.87693,-202.5
27,DWC1,4.49508,-19.877,-11.3337,-50
27,DWC2,4.49508,-26.9757,-15.3613,200
27,Scint2,4.49508,-38.2625,-21.765,597.5
27,Collimator,1.32047,-10.2458,-1.29135,-575
27,Collimator,0.412455,8.44093,-5.36196,-567.281
27,Collimator,22.7181,4.7634,45.4629,-575
27,Collimator,17.423,-7.06484,31.2504,-575
27,Collimator,2.96204,-10.8275,26.0733,-575
27,Collimator,0.570853,-1.22507,21.7829,-575
27,Collimator,0.505971,-39.5879,6.84681,-575
27,Collimator,0.337301,-52.4275,10.294,-575
27,Phantom,2.22909,-0.1207,0.874043,-365
27,Scint1,2.22909,-0.177706,1.25667,-202.5
27,DWC1,2.22909,-0.231204,1.61575,-50
27,DWC2,2.22909,-0.318905,2.2044,200
27,Scint2,2.22909,-0.45835,3.14036,597.5
27,Cherenkov,0.503834,9.09513,-33.232,-850
27,Collimator,10.3489,-11.3909,34.4409,-575
27,Collimator,2.75157,-35.2115,39.1238,-575
27,Collimator,0.455437,-24.7522,-46.1106,-575
27,Collimator,0.494436,-15.0909,-26.9396,-575
27,Collimator,0.223087,-14.3532,9.16779,-575
27,Collimator,0.760175,-30.1707,-9.15949,-575
27,Collimator,68.2536,49.7792,13.0331,-575
27,Collimator,36.3363,10.2618,1.67618,-575
27,Collimator,0.510999,-6.24386,-7.81116,-549.957
27,Collimator,12.0008,6.72317,-7.40263,-551.864
27,Phantom,12.0008,13.0178,-14.2951,-365
27,Scint1,12.0008,18.4917,-20.2889,-202.5
27,DWC1,12.0008,23.6288,-25.9139,-50
27,DWC2,12.0008,32.0502,-35.1351,200
27,Scint2,12.0008,45.4403,-49.7969,597.5
27,Collimator,63.6552,6.7061,-7.94288,-575
27,Collimator,0.510999,0.787921,9.96891,-550.131
27,Collimator,5.34146,9.36355,3.51055,-549.137
27,Collimator,4.31393,7.85908,6.18343,-535.887
27,Collimator,3.75812,9.74881,2.22725,-525.025
27,Collimator,0.283465,8.03435,5.95393,-554.651
27,Collimator,0.441433,2.86382,9.58116,-550.732
27,Collimator,0.510999,-2.8914,-9.57287,-564.256
27,Collimator,0.245821,-8.5888,-5.12177,-555.479
27,Collimator,0.16568,0.327973,9.99462,-561.629
27,Collimator,42.8962,6.66414,-7.45581,-547.77
27,Phantom,64.6049,6.87044,-13.3418,-365
27,Scint1,64.6049,9.75354,-18.9336,-202.5
27,DWC1,64.6049,12.4592,-24.1814,-50
27,DWC2,64.6049,16.8948,-32.7842,200
27,Scint2,64.6049,23.9473,-46.4627,597.5
27,Phantom,98.7717,-3.48831,0.844313,-365
27,Scint1,98.7717,-4.9594,1.21534,-202.5
27,DWC1,98.7717,-6.33995,1.56354,-50
27,DWC2,98.7717,-8.60315,2.13436,200
27,Scint2,98.7717,-12.2016,3.04196,597.5
27,Phantom,18.2229,-0.566507,-1.18423,-365
27,Scint1,18.2229,-0.811106,-1.66537,-202.5
27,DWC1,18.2229,-1.04065,-2.1169,-50
27,DWC2,18.2229,-1.41696,-2.85712,200
27,Scint2,18.2229,-2.01529,-4.03406,597.5
27,Collimator,0.331054,-6.65491,59.3639,-575
27,Collimator,0.258849,-56.5223,39.912,-575
27,Collimator,0.693304,11.4884,8.24379,-575
27,Collimator,17.4898,11.2567,22.3979,-575
27,Collimator,24.1405,8.5752,31.2562,-575
27,Collimator,3.36777,6.96805,28.1325,-575
27,Collimator,1.46507,2.60588,9.6545,-568.28
27,Collimator,0.318024,6.84013,7.2947,-569.092
