eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
11,DWC1,gamma,29.1403,-88.2917,17.3903,-50
11,Collimator,gamma,0.463764,3.70416,-9.28866,-550.876
11,Phantom,gamma,9.36287,-37.0984,-32.2006,-365
11,DWC1,gamma,9.36287,-67.7791,-92.4192,-50
11,Collimator,gamma,0.510896,-12.7328,7.35973,-575
11,Collimator,gamma,4.16154,-12.5937,6.93513,-575
11,Cherenkov,gamma,0.373705,34.5284,28.6887,-850
11,Phantom,gamma,1.27191,-3.73869,1.56362,-365
11,Scint1,gamma,1.27191,-5.35701,2.23855,-202.5
11,DWC1,gamma,1.27191,-6.87573,2.87194,-50
11,DWC2,gamma,1.27191,-9.36544,3.91028,200
11,Scint2,gamma,1.27191,-13.3241,5.56125,597.5
11,Phantom,gamma,70.3078,6.42206,-5.10387,-365
11,Scint1,gamma,70.3078,9.11317,-7.25606,-202.5
11,DWC1,gamma,70.3078,11.6387,-9.2758,-50
11,DWC2,gamma,70.3078,15.7789,-12.5869,200
11,Scint2,gamma,70.3078,22.3617,-17.8514,597.5
11,Phantom,gamma,192.643,4.83441,-5.50841,-365
11,Scint1,e+,51.0437,4.25439,-6.44705,-202.5
11,DWC1,e+,49.1276,1.04383,-17.83,-50
11,DWC2,e+,49.0609,-3.85378,-37.1913,200
11,DWC1,gamma,0.0329828,-0.558832,-15.9714,-50
11,DWC2,gamma,0.0329828,-8.57598,-31.9343,200
11,Scint1,e-,137.755,5.71433,-7.93488,-202.5
11,DWC1,e-,136.57,4.68881,-11.8392,-50
11,DWC2,e-,136.48,4.10765,-16.9026,200
11,Scint2,e-,136.387,4.17837,-25.4061,597.5
11,Phantom,gamma,7.37667,6.41787,-5.17047,-365
11,Scint1,gamma,7.37667,9.10672,-7.35092,-202.5
11,DWC1,gamma,7.37667,11.6301,-9.39719,-50
11,DWC2,gamma,7.37667,15.7668,-12.7517,200
11,Scint2,gamma,7.37667,22.3441,-18.0855,597.5
11,Collimator,gamma,27.9056,-47.1126,-10.291,-575
11,Collimator,gamma,13.6918,-52.5087,-6.58823,-575
11,Collimator,gamma,0.80019,-47.524,-23.4229,-575
11,Collimator,gamma,0.216995,-36.8585,-20.0267,-575
11,Collimator,gamma,6.95014,-13.5054,0.924358,-575
11,Phantom,e-,716.532,1.02976,-11.8521,-365
11,Scint1,e-,710.699,1.22741,-16.4159,-202.5
11,DWC1,e-,709.744,1.24866,-20.9415,-50
11,DWC2,e-,709.698,1.09805,-28.434,200
11,Scint2,e-,709.597,0.931972,-40.3791,597.5
11,Scint1,gamma,0.246129,1.42147,-16.2987,-202.5
11,DWC1,gamma,0.246129,1.82221,-20.4533,-50
11,DWC2,gamma,0.246129,2.47916,-27.2641,200
11,Scint2,gamma,0.246129,3.52371,-38.0933,597.5
11,Collimator,gamma,0.192646,28.3996,35.9782,-575
11,Phantom,gamma,0.141757,0.0162197,-11.7834,-365
11,Scint1,gamma,0.141757,-0.00992549,-16.7942,-202.5
11,DWC1,gamma,0.141757,-0.0344617,-21.4966,-50
11,DWC2,gamma,0.141757,-0.074685,-29.2054,200
11,Scint2,gamma,0.141757,-0.13864,-41.4625,597.5
11,Phantom,gamma,3.59361,1.40882,-8.86509,-365
11,Scint1,gamma,3.59361,1.97649,-12.6322,-202.5
11,DWC1,gamma,3.59361,2.50923,-16.1675,-50
11,DWC2,gamma,3.59361,3.38258,-21.963,200
11,Scint2,gamma,3.59361,4.7712,-31.178,597.5
11,Phantom,gamma,1.87299,2.63793,-3.00897,-365
11,Scint1,gamma,1.87299,3.72709,-4.28238,-202.5
11,DWC1,gamma,1.87299,4.74923,-5.47742,-50
11,DWC2,gamma,1.87299,6.42488,-7.4365,200
11,Scint2,gamma,1.87299,9.08914,-10.5514,597.5
11,Collimator,gamma,16.0357,27.3022,55.1218,-575
11,Collimator,gamma,1.20945,50.2544,55.2008,-575
11,Collimator,gamma,0.356943,30.6645,34.0484,-575
11,Collimator,gamma,0.395025,27.3716,47.6941,-575
11,Collimator,gamma,1.48818,54.4919,3.12796,-575
11,Collimator,gamma,6.40278,4.58203,-25.6057,-575
11,Phantom,gamma,101.16,2.26699,0.0436377,-365
11,Scint1,gamma,101.16,3.20586,0.065434,-202.5
11,DWC1,gamma,101.16,4.08697,0.0858889,-50
11,DWC2,gamma,101.16,5.5314,0.119422,200
11,Scint2,gamma,101.16,7.82804,0.172739,597.5
11,Phantom,gamma,220.113,0.939092,0.169569,-365
11,Scint1,gamma,220.113,1.32104,0.243849,-202.5
11,DWC1,gamma,220.113,1.67948,0.313557,-50
11,DWC2,gamma,220.113,2.26709,0.427833,200
11,Scint2,gamma,220.113,3.2014,0.609532,597.5
11,Collimator,e+,121.034,-12.0277,-4.95281,-575
11,Collimator,gamma,0.510999,0.123963,9.99923,-566.434
11,BremsTarget,gamma,0.510999,-18.211,46.7251,-745.625
11,BremsTarget,gamma,0.326159,-33.8584,-48.3245,-745.625
11,Collimator,gamma,0.510999,9.9903,-0.440445,-562.064
11,Collimator,gamma,0.510999,-5.85629,8.10579,-547.2
11,Phantom,gamma,62.0258,-13.8599,-4.91393,-365
11,Scint1,gamma,62.0258,-19.779,-6.99098,-202.5
11,DWC1,gamma,62.0258,-25.3339,-8.94021,-50
11,DWC2,gamma,62.0258,-34.4402,-12.1357,200
11,Scint2,gamma,62.0258,-48.9192,-17.2164,597.5
11,Phantom,gamma,0.139665,-8.0048,-10.416,-365
11,Phantom,gamma,173.19,1.35076,-5.16907,-365
11,Scint1,gamma,173.19,1.9097,-7.35987,-202.5
11,DWC1,gamma,173.19,2.43425,-9.41586,-50
11,DWC2,gamma,173.19,3.29417,-12.7863,200
11,Scint2,gamma,173.19,4.66144,-18.1454,597.5
11,Phantom,gamma,46.7257,-2.16766,-5.43936,-365
11,Scint1,gamma,46.7257,-3.10411,-7.74501,-202.5
11,DWC1,gamma,46.7257,-3.98293,-9.90878,-50
11,DWC2,gamma,46.7257,-5.42362,-13.4559,200
11,Scint2,gamma,46.7257,-7.71433,-19.0959,597.5
11,Phantom,e-,202.109,6.91517,8.26387,-365
11,Scint1,e-,195.969,13.4187,12.2394,-202.5
11,DWC1,e-,195.204,21.1659,17.3905,-50
11,DWC2,e-,195.119,34.055,25.807,200
11,Phantom,gamma,8.2507,2.94168,12.9232,-365
11,Scint1,gamma,8.2507,4.18621,18.4295,-202.5
11,DWC1,gamma,8.2507,5.35415,23.5971,-50
11,DWC2,gamma,8.2507,7.26881,32.0684,200
11,Scint2,gamma,8.2507,10.3131,45.5379,597.5
11,Phantom,gamma,150.917,-3.73681,1.37823,-365
11,Scint1,gamma,150.917,-5.34031,1.95886,-202.5
11,DWC1,gamma,150.917,-6.84513,2.50377,-50
11,DWC2,gamma,150.917,-9.31205,3.39705,200
11,Scint2,gamma,150.917,-13.2345,4.81737,597.5
11,Collimator,e-,22.1348,29.3705,53.1316,-575
11,Collimator,gamma,1.5063,9.32914,56.464,-575
11,Collimator,gamma,2.03342,-0.476907,26.7738,-575
11,Phantom,gamma,5.58629,-0.519675,0.366824,-365
11,Scint1,gamma,5.58629,-0.748807,0.523695,-202.5
11,DWC1,gamma,5.58629,-0.963838,0.670912,-50
11,DWC2,gamma,5.58629,-1.31635,0.912251,200
11,Scint2,gamma,5.58629,-1.87684,1.29598,597.5
11,Phantom,gamma,23.7892,-0.0995471,-0.152476,-365
11,Scint1,gamma,23.7892,-0.153285,-0.212773,-202.5
11,DWC1,gamma,23.7892,-0.203717,-0.26936,-50
11,DWC2,gamma,23.7892,-0.286391,-0.362125,200
11,Scint2,gamma,23.7892,-0.417844,-0.509621,597.5
53228,597.5
13,Phantom,gamma,9.64626,0.169733,-0.0490879,-365
13,Scint1,gamma,9.64626,0.233129,-0.0590403,-202.5
13,DWC1,gamma,9.64626,0.292624,-0.0683802,-50
13,DWC2,gamma,9.64626,0.390157,-0.0836915,200
13,Scint2,gamma,9.64626,0.545234,-0.108037,597.5
.68769,-365
47,Scint1,gamma,34.8713,3.07267,-3.64378,-202.5
47,DWC1,gamma,34.8713,3.81526,-4.54103,-50
47,DWC2,gamma,34.8713,5.03263,-6.01193,200
47,Scint2,gamma,34.8713,6.96825,-8.35067,597.5
47,Collimator,gamma,0.119433,-34.1739,0.30617,-575
47,Phantom,gamma,4.53354,1.05803,-0.0702335,-365
47,Scint1,gamma,4.53354,1.33565,0.0717949,-202.5
47,DWC1,gamma,4.53354,1.59618,0.205083,-50
47,DWC2,gamma,4.53354,2.02329,0.423589,200
47,Scint2,gamma,4.53354,2.70239,0.771012,597.5
