eventID,volume,particle,energy_MeV,theta_deg,phi_deg
27,Collimator,gamma,0.757236,4.7091,112.918
27,Collimator,gamma,3.74791,4.47504,121.513
27,Collimator,gamma,1.34276,3.83408,122.842
27,Phantom,gamma,25.0571,2.53344,74.528
27,Scint1,gamma,25.0571,2.53344,74.528
27,DWC1,gamma,25.0571,2.53344,74.528
27,DWC2,gamma,25.0571,2.53344,74.528
27,Collimator,gamma,0.775643,62.5572,-136.909
27,Collimator,gamma,0.883893,32.878,-157.507
27,Collimator,gamma,9.23411,3.47794,70.7133
27,Phantom,gamma,0.616428,2.36151,123.479
27,Scint1,gamma,0.616428,2.36151,123.479
27,DWC1,gamma,0.616428,2.36151,123.479
27,DWC2,gamma,0.616428,2.36151,123.479
27,Scint2,gamma,0.616428,2.36151,123.479
27,Phantom,gamma,4.46598,2.28359,115.559
27,Scint1,gamma,4.46598,2.28359,115.559
27,DWC1,gamma,4.46598,2.28359,115.559
27,DWC2,gamma,4.46598,2.28359,115.559
27,Scint2,gamma,4.46598,2.28359,115.559
27,Collimator,gamma,1.65043,14.859,172.21
27,Collimator,gamma,13.2988,17.4393,-11.7833
27,Collimator,gamma,0.892677,16.3335,-3.98717
27,Collimator,gamma,14.1193,4.48437,49.5605
27,Collimator,gamma,5.56558,11.3635,73.4809
27,Collimator,gamma,33.7994,10.4358,141.612
27,Collimator,gamma,0.820661,7.95583,133.413
27,Collimator,gamma,0.49526,8.45928,125.58
27,Collimator,gamma,3.33467,8.61881,111.035
27,Collimator,gamma,10.5872,5.96909,125.637
27,Phantom,gamma,12.9061,2.15348,68.7185
27,Scint1,gamma,12.9061,2.15348,68.7185
27,DWC1,gamma,12.9061,2.15348,68.7185
27,DWC2,gamma,12.9061,2.15348,68.7185
27,Scint2,gamma,12.9061,2.15348,68.7185
27,Collimator,gamma,11.6837,11.9836,27.4675
27,Collimator,gamma,13.376,7.38566,41.8459
27,Collimator,gamma,2.10532,3.72874,9.79681
27,Collimator,gamma,0.3188,108.05,155.32
27,Collimator,gamma,2.80367,3.22803,-92.6012
27,Collimator,gamma,0.479832,6.55355,-58.4973
27,Collimator,gamma,15.5892,12.7325,-80.4468
27,Collimator,gamma,1.79643,3.61909,-148.23
27,Collimator,gamma,0.347918,88.4611,91.2853
