eventID,volume,energy_MeV,x_mm,y_mm,z_mm
38,Scint2,0.854235,-33.8262,-23.4255,597.5
38,Phantom,137.638,-7.55444,-9.73586,-365
38,Scint1,137.638,-10.6873,-13.8047,-202.5
38,DWC1,137.638,-13.6274,-17.6232,-50
38,DWC2,137.638,-18.4472,-23.883,200
38,Scint2,137.638,-26.1107,-33.8361,597.5
38,Cherenkov,0.387465,30.2396,8.51725,-850
38,Phantom,152.536,13.2751,-5.92453,-365
38,Scint1,152.536,18.8884,-8.38739,-202.5
38,DWC1,7.76251,9.31105,-19.7978,-50
94,DWC2,7.76251,12.5614,-26.8575,200
94,Scint2,7.76251,17.7295,-38.0825,597.5
94,Collimator,17.6928,4.74527,9.04698,-575
94,Collimator,0.488718,-8.31921,5.54893,-529.354
94,Collimator,2.82066,28.3504,2.78492,-575
94,Collimator,1.14295,22.8447,-2.67688,-575
94,Collimator,4.62625,18.9235,2.68733,-575
94,Phantom,18.4067,-4.88566,-14.0557,-365
94,Scint1,18.4067,-7.04236,-19.9763,-202.5
94,DWC1,18.4067,-9.06634,-25.5325,-50
94,DWC2,18.4067,-12.3843,-34.6412,200
94,Scint2,18.4067,-17.66,-49.1239,597.5
94,Collimator,0.448734,36.8399,12.8599,-575
94,Collimator,1.20234,23.0187,3.9464,-575
94,Collimator,30.2298,11.9358,-0.941783,-575
94,Collimator,0.510999,-16.4794,28.6534,-575
94,Collimator,5.62966,11.6803,-0.805082,-575
94,Collimator,2.65898,12.0242,2.19077,-575
94,Collimator,0.583847,-9.86514,-1.63674,-546.232
94,Collimator,6.13571,13.3077,-0.775881,-575
94,Collimator,29.2342,12.1301,-36.5836,-575
94,Phantom,1.90046,11.4847,-10.5356,-365
94,Scint1,1.90046,16.2598,-15.0063,-202.5
94,DWC1,1.90046,20.741,-19.2019,-50
94,DWC2,1.90046,28.0873,-26.0799,200
94,Scint2,1.90046,39.768,-37.016,597.5
94,Phantom,1.00483,5.20772,-7.79026,-365
94,Scint1,1.00483,7.33456,-11.1025,-202.5
94,DWC1,1.00483,9.33052,-14.2109,-50
94,DWC2,1.00483,12.6026,-19.3066,200
94,Scint2,1.00483,17.8052,-27.4087,597.5
94,Phantom,6.40303,-0.398768,7.02413,-365
94,Scint1,6.40303,-0.634914,9.95708,-202.5
94,DWC1,6.40303,-0.856529,12.7095,-50
94,DWC2,6.40303,-1.21983,17.2218,200
94,Scint2,6.40303,-1.79748,24.3962,597.5
94,Phantom,7.45678,-5.39813,8.54312,-365
94,Scint1,7.45678,-7.74009,12.1158,-202.5
94,DWC1,7.45678,-9.93794,15.4686,-50
94,DWC2,7.45678,-13.541,20.965,200
