eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
41,Phantom,gamma,2.13307,-0.682744,3.02053,-365,Transportation,World
41,Scint1,gamma,2.13307,-0.944883,4.3275,-202.5,Transportation,World
41,DWC1,gamma,2.13307,-1.19089,5.55405,-50,Transportation,World
41,DWC2,gamma,2.13307,-1.59418,7.56477,200,Transportation,World
41,Scint2,gamma,2.13307,-2.23541,10.7618,597.5,Transportation,World
41,Collimator,gamma,0.721518,25.6065,30.4475,-575,Transportation,World
41,Phantom,gamma,30.2816,-5.57638,2.97575,-365,Transportation,World
41,Scint1,gamma,30.2816,-7.90923,4.26832,-202.5,Transportation,World
41,DWC1,gamma,30.2816,-10.0985,5.48134,-50,Transportation,World
41,DWC2,gamma,30.2816,-13.6875,7.46991,200,Transportation,World
41,Scint2,gamma,30.2816,-19.394,10.6317,597.5,Transportation,World
41,Phantom,gamma,5.15543,-3.98152,1.69951,-365,Transportation,World
41,Scint1,gamma,5.15543,-5.64028,2.45261,-202.5,Transportation,World
41,DWC1,gamma,5.15543,-7.19696,3.15936,-50,Transportation,World
41,DWC2,gamma,5.15543,-9.7489,4.31798,200,Transportation,World
41,Scint2,gamma,5.15543,-13.8065,6.16018,597.5,Transportation,World
41,Phantom,gamma,727.576,-7.01425,-2.77039,-365,Transportation,World
41,Scint1,gamma,727.576,-9.95391,-3.90391,-202.5,Transportation,World
41,DWC1,gamma,727.576,-12.7127,-4.96767,-50,Transportation,World
41,DWC2,gamma,727.576,-17.2352,-6.71154,200,Transportation,World
41,Scint2,gamma,727.576,-24.4261,-9.4843,597.5,Transportation,World
41,Collimator,e+,2.52581,14.3973,17.6267,-575,Transportation,World
41,BremsTarget,e-,0.349825,14.1924,-18.4498,-745.625,Transportation,World
41,Collimator,gamma,0.131326,50.0733,42.7708,-575,Transportation,World
41,Collimator,gamma,0.684659,16.6915,-0.0238721,-575,Transportation,World
41,Collimator,gamma,6.06497,3.81428,-13.7297,-575,Transportation,World
