eventID,volume,particle,energy_MeV,theta_deg,phi_deg
59,Collimator,gamma,0.338783,16.7087,-127.466
59,Phantom,gamma,3.24251,2.41021,-37.6341
59,Scint1,gamma,3.24251,2.41021,-37.6341
59,DWC1,gamma,3.24251,2.41021,-37.6341
59,DWC2,gamma,3.24251,2.41021,-37.6341
59,Scint2,gamma,3.24251,2.41021,-37.6341
59,Collimator,gamma,2.14973,19.2951,16.6634
59,Collimator,gamma,0.214824,17.3673,19.9819
59,Collimator,gamma,0.997655,3.01811,26.4959
59,Collimator,gamma,0.66017,14.7908,95.5418
59,Collimator,gamma,0.476881,9.38051,60.3434
59,Collimator,gamma,0.382256,9.83498,75.216
59,Collimator,gamma,11.7336,3.1907,101.775
59,Collimator,gamma,1.57952,42.1271,-21.4798
59,Collimator,gamma,0.458756,114.102,-113.054
59,Phantom,gamma,1.26438,10.3338,-120.567
59,Collimator,gamma,0.20773,11.3015,145.294
59,Collimator,gamma,3.71434,5.04273,-84.9178
59,Phantom,gamma,3.71434,5.04273,-84.9178
59,Scint1,gamma,3.71434,5.04273,-84.9178
59,DWC1,gamma,3.71434,5.04273,-84.9178
59,DWC2,gamma,3.71434,5.04273,-84.9178
59,Phantom,gamma,0.512704,1.67122,6.39237
59,Scint1,gamma,0.512704,1.67122,6.39237
59,DWC1,gamma,0.512704,1.67122,6.39237
59,DWC2,gamma,0.512704,1.67122,6.39237
59,Scint2,gamma,0.512704,1.67122,6.39237
59,Phantom,gamma,4.61834,0.95115,40.8047
59,Scint1,gamma,4.61834,0.95115,40.8047
59,DWC1,gamma,4.61834,0.95115,40.8047
59,DWC2,gamma,4.61834,0.95115,40.8047
59,Scint2,gamma,4.61834,0.95115,40.8047
59,Phantom,gamma,21.8788,0.909006,27.978
59,Scint1,gamma,21.8788,0.909006,27.978
59,DWC1,gamma,21.8788,0.909006,27.978
59,DWC2,gamma,21.8788,0.909006,27.978
59,Scint2,gamma,21.8788,0.909006,27.978
59,Collimator,gamma,3.68351,6.27852,-81.3595

97,Collimator,gamma,0.946638,11.6547,-163.026
97,Collimator,gamma,0.278316,13.5153,-104.492
98,Collimator,gamma,0.648824,19.4773,-166.781
98,Collimator,gamma,0.508591,9.55257,-141.217
98,Collimator,gamma,0.840025,6.17925,-148.491
98,Collimator,gamma,11.1991,51.322,77.5202
98,Phantom,gamma,3.44098,3.28016,-140.029
98,Scint1,gamma,3.44098,3.28016,-140.029
98,DWC1,gamma,3.44098,3.28016,-140.029
98,DWC2,gamma,3.44098,3.28016,-140.029
98,Collimator,gamma,8.10526,9.15308,-94.3643
98,Collimator,gamma,2.28791,17.1882,-92.2712
98,Phantom,gamma,5.95722,1.41604,-122.229
98,Phantom,gamma,68.4279,0.675271,-140.236
98,Scint1,gamma,68.4279,0.675271,-140.236
98,DWC1,gamma,68.4279,0.675271,-140.236
98,DWC2,gamma,68.4279,0.675271,-140.236
98,Scint2,gamma,68.4279,0.675271,-140.236
98,Phantom,gamma,9.36405,1.02428,-59.2178
98,Scint1,gamma,9.36405,1.02428,-59.2178
98,DWC1,gamma,9.36405,1.02428,-59.2178
98,DWC2,gamma,9.36405,1.02428,-59.2178
98,Scint2,gamma,9.36405,1.02428,-59.2178
98,Collimator,gamma,4.75125,9.26614,103.262
98,Collimator,gamma,0.461043,6.04507,-53.6817
98,Collimator,gamma,1.78378,18.75,-44.9625
98,Collimator,gamma,1.40148,9.95239,67.7323
98,Collimator,gamma,6.20508,13.4561,82.9724
98,Phantom,gamma,2.11031,1.07273,-27.9794
98,Scint1,gamma,2.11031,1.07273,-27.9794
98,DWC1,gamma,2.11031,1.07273,-27.9794
98,DWC2,gamma,2.11031,1.07273,-27.9794
98,Scint2,gamma,2.11031,1.07273,-27.9794
98,Phantom,gamma,19.7354,2.09087,-28.3447
98,Scint1,gamma,19.7354,2.09087,-28.3447
98,DWC1,gamma,19.7354,2.09087,-28.3447
98,DWC2,gamma,19.7354,2.09087,-28.3447
98,Scint2,gamma,19.7354,2.09087,-28.3447
98,Collimator,gamma,3.86908,18.9514,143.334
98,Collimator,gamma,1.10505,5.38199,94.053
98,Phantom,gamma,1.83477,0.500351,-37.8897
98,Scint1,gamma,1.83477,0.500351,-37.8897
98,DWC1,gamma,1.83477,0.500351,-37.8897
98,DWC2,gamma,1.83477,0.500351,-37.8897
98,Scint2,gamma,1.83477,0.500351,-37.8897
98,Phantom,gamma,1.8317,0.393724,-74.949
98,Scint1,gamma,1.8317,0.393724,-74.949
98,DWC1,gamma,1.8317,0.393724,-74.949
98,DWC2,gamma,1.8317,0.393724,-74.949
98,Scint2,gamma,1.8317,0.393724,-74.949
99,Collimator,gamma,33.6527,16.7894,-58.2352
99,Collimator,gamma,1.18594,14.1208,-52.814
99,Phantom,gamma,69.5313,1.98359,-28.2513
99,Scint1,gamma,69.5313,1.98359,-28.2513
99,DWC1,gamma,69.5313,1.98359,-28.2513
99,DWC2,gamma,69.5313,1.98359,-28.2513
99,Scint2,gamma,69.5313,1.98359,-28.2513
99,Phantom,gamma,3.18131,2.38557,-58.4579
99,Scint1,gamma,3.18131,2.38557,-58.4579
99,DWC1,gamma,3.18131,2.38557,-58.4579
99,DWC2,gamma,3.18131,2.38557,-58.4579
99,Scint2,gamma,3.18131,2.38557,-58.4579
99,Collimator,gamma,0.40127,11.5462,-127.492
99,Cherenkov,gamma,0.510999,164.319,-75.757
99,Collimator,gamma,8.63325,3.26412,-52.8683
99,Collimator,gamma,0.510999,124.488,116.946
99,Collimator,gamma,0.519252,15.6729,-86.6594
99,Phantom,gamma,285.899,2.05871,-40.1675
99,Scint1,gamma,285.899,2.05871,-40.1675
99,DWC1,gamma,285.899,2.05871,-40.1675
99,DWC2,gamma,285.899,2.05871,-40.1675
99,Scint2,gamma,285.899,2.05871,-40.1675
99,Phantom,gamma,6.03184,1.65013,-54.0352
99,Scint1,gamma,6.03184,1.65013,-54.0352
99,DWC1,gamma,6.03184,1.65013,-54.0352
99,DWC2,gamma,6.03184,1.65013,-54.0352
99,Scint2,gamma,6.03184,1.65013,-54.0352
99,Phantom,gamma,3.4221,1.73233,-64.0359
99,Scint1,gamma,3.4221,1.73233,-64.0359
99,DWC1,gamma,3.4221,1.73233,-64.0359
99,DWC2,gamma,3.4221,1.73233,-64.0359
99,Scint2,gamma,3.4221,1.73233,-64.0359
99,Phantom,gamma,2.64838,1.14218,-96.0539
99,Scint1,gamma,2.64838,1.14218,-96.0539
99,DWC1,gamma,2.64838,1.14218,-96.0539
99,DWC2,gamma,2.64838,1.14218,-96.0539
99,Scint2,gamma,2.64838,1.14218,-96.0539
